"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"213048_s_at",3327.38045351057,-1.93538258061851,0.0634519605348077,-30.5015410762102,2.48609796451449e-204,1.30654392427095e-199
"215505_s_at",37.4005778657034,2.06205825730431,0.0865404191466676,23.8276897389365,1.72520203083269e-125,4.53331337641905e-121
"219112_at",39.5438100753766,1.23847814868788,0.0521871047304607,23.7314975621747,1.70608440834944e-124,2.98871866654655e-120
"1554047_at",18.4296249465071,1.17185516937173,0.0500786523082869,23.4002936452388,4.24425800748493e-121,5.57631838313408e-117
"223674_s_at",14.7808785967691,1.43715828367751,0.0628505251345791,22.8662891932913,1.00635651286953e-115,1.0577612035469e-111
"202072_at",285.391657682621,1.97028786308924,0.0878553348971487,22.4265022197666,2.17044275042139e-111,1.9010908050941e-107
"1555247_a_at",26.0923185403358,1.48910114158271,0.0675603867943161,22.0410393166663,1.16433771123109e-107,7.64882550950481e-104
"203444_s_at",29.5974371935754,1.35640295580645,0.0623554639699723,21.7527521960166,6.50575242524482e-105,3.79892569951462e-101
"35201_at",496.298072997319,1.76437729603853,0.081570581852346,21.6300687818103,9.36435121924461e-104,4.92134113976181e-100
"219921_s_at",27.5633817574659,1.15959339537564,0.054117579217596,21.4272961233751,7.4375881390402e-102,3.5534091550829e-98
"222110_at",15.0605557174932,1.04697465528161,0.0489102947496709,21.4060181121411,1.17427934945165e-101,5.1427564109235e-98
"243259_at",25.8999464972194,1.07363047426706,0.0508797097493861,21.1013482497315,7.73003636526079e-99,3.12495639338397e-95
"230958_s_at",260.055898607069,-2.08633311202132,0.0992077851163184,-21.0299333824977,3.49140216126533e-98,1.31062249416527e-94
"213788_s_at",130.159170827802,-1.31773720927169,0.0642266647679233,-20.5169801986947,1.51857069535394e-93,5.32046428824207e-90
"238353_at",35.6654743536289,1.69731942108682,0.0828544633607933,20.4855520419675,2.8968164039104e-93,9.51495558069421e-90
"226880_at",1582.74001974519,-1.3172861120526,0.0679105247252845,-19.3973779083782,8.120919478275e-84,2.51051060153685e-80
"228834_at",725.243853830137,-2.17932463379394,0.112730972252047,-19.3320840782012,2.8852449301902e-83,8.42395344784532e-80
"242594_at",26.7148052420458,1.47196356843527,0.0764896438855838,19.2439589683159,1.58617965157073e-82,4.38737291624465e-79
"217544_at",9.88967533779113,1.04553066799555,0.0561918144605363,18.6064585746708,2.84833260696836e-77,7.48456359133075e-74
"226400_at",1609.73391454329,-1.35818783992274,0.0731879698183333,-18.5575285568657,7.08917668125347e-77,1.77411710145998e-73
